ID,Company Name,Industry
671,COVANCE INC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731]
672,COVANCE INC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731]
673,COVANCE INC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731]
674,COVANCE INC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731]
675,CBS CORP,TELEVISION BROADCASTING STATIONS [4833]
676,1 800 FLOWERS COM INC,RETAIL-RETAIL STORES  NEC [5990]
677,SANDISK CORP,COMPUTER STORAGE DEVICES [3572]
678,HENRY SCHEIN INC,WHOLESALE-MEDICAL  DENTAL & HOSPITAL EQUIPMENT & SUPPLIES [5047]
679,CORE LABORATORIES N V,OIL  GAS FIELD SERVICES  NBC [1389]
680,CORE LABORATORIES N V,OIL  GAS FIELD SERVICES  NBC [1389]
681,SCHWEITZER MAUDUIT INTERNATIONAL INC,PAPER MILLS [2621]
682,INSPERITY  INC.,SERVICES-HELP SUPPLY SERVICES [7363]
683,WALT DISNEY CO/,CABLE & OTHER PAY TELEVISION SERVICES [4841]
684,LEXMARK INTERNATIONAL INC /KY/,COMPUTER & OFFICE EQUIPMENT [3570]
685,LEXMARK INTERNATIONAL INC /KY/,COMPUTER & OFFICE EQUIPMENT [3570]
686,LEXMARK INTERNATIONAL INC /KY/,COMPUTER & OFFICE EQUIPMENT [3570]
687,LEXMARK INTERNATIONAL INC /KY/,COMPUTER & OFFICE EQUIPMENT [3570]
688,BLOUNT INTERNATIONAL INC,CUTLERY  HANDTOOLS & GENERAL HARDWARE [3420]
689,BLOUNT INTERNATIONAL INC,CUTLERY  HANDTOOLS & GENERAL HARDWARE [3420]
690,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
691,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
692,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
693,ALR TECHNOLOGIES INC.,COMMUNICATIONS EQUIPMENT  NEC [3669]
694,WESTELL TECHNOLOGIES INC,TELEPHONE & TELEGRAPH APPARATUS [3661]
695,OPEN TEXT CORP,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373]
696,OPEN TEXT CORP,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373]
697,MSC INDUSTRIAL DIRECT CO INC,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT [5084]
698,SILICON IMAGE INC,ELECTRONIC COMPONENTS & ACCESSORIES [3670]
699,AFFILIATED MANAGERS GROUP  INC.,INVESTMENT ADVICE [6282]
700,ADCARE HEALTH SYSTEMS  INC,SERVICES-SKILLED NURSING CARE FACILITIES [8051]
701,PG&E Corp,ELECTRIC & OTHER SERVICES COMBINED [4931]
702,COLUMBUS MCKINNON CORP,CONSTRUCTION MACHINERY & EQUIP [3531]
703,UNIVERSAL DISPLAY CORP \PA\,ELECTRONIC COMPONENTS & ACCESSORIES [3670]
704,UNIVERSAL DISPLAY CORP \PA\,ELECTRONIC COMPONENTS & ACCESSORIES [3670]
705,DIME COMMUNITY BANCSHARES INC,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
706,DIME COMMUNITY BANCSHARES INC,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
707,EVOLUTION PETROLEUM CORP,CRUDE PETROLEUM & NATURAL GAS [1311]
708,WESMARK FUNDS,UNKNOWN SIC - 0000 [0000]
709,VARIABLE ANNUITY 1 SERIES ACCOUNT,N/A
710,VARIABLE ANNUITY 1 SERIES ACCOUNT,N/A
711,PRGX GLOBAL  INC.,SERVICES-ENGINEERING  ACCOUNTING  RESEARCH  MANAGEMENT [8700]
712,MILLENNIUM HEALTHCARE INC.,WHOLESALE-MEDICAL  DENTAL & HOSPITAL EQUIPMENT & SUPPLIES [5047]
713,TUPPERWARE BRANDS CORP,PLASTICS PRODUCTS  NEC [3089]
714,TUPPERWARE BRANDS CORP,PLASTICS PRODUCTS  NEC [3089]
715,SAPIENT CORP,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373]
716,ACORDA THERAPEUTICS INC,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
717,SIGA TECHNOLOGIES INC,PHARMACEUTICAL PREPARATIONS [2834]
718,New Concept Energy  Inc.,CRUDE PETROLEUM & NATURAL GAS [1311]
719,tw telecom inc.,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
720,Medical Information Technology  Inc.,SERVICES-PREPACKAGED SOFTWARE [7372]
721,KNOLL INC,MISCELLANEOUS FURNITURE & FIXTURES [2590]
722,RETIREMAP VARIABLE ACCOUNT,N/A
723,Energy Transfer Partners  L.P.,NATURAL GAS TRANSMISSION [4922]
724,Energy Transfer Partners  L.P.,NATURAL GAS TRANSMISSION [4922]
725,GENESEE & WYOMING INC,RAILROADS  LINE-HAUL OPERATING [4011]
726,FBL FINANCIAL GROUP INC,LIFE INSURANCE [6311]
727,ANSYS INC,SERVICES-PREPACKAGED SOFTWARE [7372]
728,ENDOLOGIX INC /DE/,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841]
729,Sunway Global Inc.,CONSTRUCTION  MINING & MATERIALS HANDLING MACHINERY & EQUIP [3530]
730,Intellicell Biosciences  Inc.,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
731,Intellicell Biosciences  Inc.,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
732,Intellicell Biosciences  Inc.,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
733,Intellicell Biosciences  Inc.,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
734,Intellicell Biosciences  Inc.,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
735,Intellicell Biosciences  Inc.,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
736,Sunway Global Inc.,CONSTRUCTION  MINING & MATERIALS HANDLING MACHINERY & EQUIP [3530]
737,NRG ENERGY  INC.,ELECTRIC SERVICES [4911]
738,DOVER Corp,CONSTRUCTION  MINING & MATERIALS HANDLING MACHINERY & EQUIP [3530]
739,VERISIGN INC/CA,SERVICES-COMPUTER PROGRAMMING SERVICES [7371]
740,VERISIGN INC/CA,SERVICES-COMPUTER PROGRAMMING SERVICES [7371]
741,WINTRUST FINANCIAL CORP,STATE COMMERCIAL BANKS [6022]
742,WINTRUST FINANCIAL CORP,STATE COMMERCIAL BANKS [6022]
743,WINTRUST FINANCIAL CORP,STATE COMMERCIAL BANKS [6022]
744,WINTRUST FINANCIAL CORP,STATE COMMERCIAL BANKS [6022]
745,WINTRUST FINANCIAL CORP,STATE COMMERCIAL BANKS [6022]
746,E TRADE FINANCIAL Corp,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
747,QIAGEN NV,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
748,QIAGEN NV,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
749,CARRIAGE SERVICES INC,SERVICES-PERSONAL SERVICES [7200]
750,INTEGRATED BIOPHARMA INC,PHARMACEUTICAL PREPARATIONS [2834]
751,LAPOLLA INDUSTRIES INC,PAINTS  VARNISHES  LACQUERS  ENAMELS & ALLIED PRODUCTS [2851]
752,SUN BANCORP INC /NJ/,COMMERCIAL BANKS  NEC [6029]
753,AMAZON COM INC,RETAIL-CATALOG & MAIL-ORDER HOUSES [5961]
754,AMAZON COM INC,RETAIL-CATALOG & MAIL-ORDER HOUSES [5961]
755,ABERCROMBIE & FITCH CO /DE/,RETAIL-FAMILY CLOTHING STORES [5651]
756,ALLEGHENY TECHNOLOGIES INC,STEEL PIPE & TUBES [3317]
757,NuSTATE ENERGY HOLDINGS  INC.,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731]
758,NuSTATE ENERGY HOLDINGS  INC.,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731]
759,NuSTATE ENERGY HOLDINGS  INC.,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731]
760,True Drinks Holdings  Inc.,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS [2833]
761,FNB BANCORP/CA/,STATE COMMERCIAL BANKS [6022]
762,NuSTATE ENERGY HOLDINGS  INC.,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731]
763,FNB BANCORP/CA/,STATE COMMERCIAL BANKS [6022]
764,NuSTATE ENERGY HOLDINGS  INC.,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731]
765,AMERICAN RIVER BANKSHARES,STATE COMMERCIAL BANKS [6022]
766,Oxford Instruments PLC/ADR,UNKNOWN SIC - 8880 [8880]
767,Experian Group LTD,UNKNOWN SIC - 8880 [8880]
768,Forward Pharma A/S,PHARMACEUTICAL PREPARATIONS [2834]
769,New World China Land Limited/ADR,UNKNOWN SIC - 8880 [8880]
770,ANGLE plc,UNKNOWN SIC - 8880 [8880]
771,ALUMINA LTD,PRIMARY SMELTING & REFINING OF NONFERROUS METALS [3330]
772,CTT - Correios de Portugal  S.A./ADR,UNKNOWN SIC - 8880 [8880]
773,Smurfit Kappa Group PLC/ADR,UNKNOWN SIC - 8880 [8880]
774,Fujitec Co Ltd/ADR,UNKNOWN SIC - 8880 [8880]
775,OGX Petroleo e Gas S.A. - Em Recuperacao Judicial,UNKNOWN SIC - 8880 [8880]
776,Orascom Construction Industries S.A.E.,UNKNOWN SIC - 8880 [8880]
777,SEVEN & I HOLDINGS CO LTD,UNKNOWN SIC - 8880 [8880]
778,Renault SA Unsponsored ADR Facility,UNKNOWN SIC - 8880 [8880]
779,PRANA BIOTECHNOLOGY LTD,PHARMACEUTICAL PREPARATIONS [2834]
780,KLABIN SA /FI,UNKNOWN SIC - 8880 [8880]
781,VG Life Sciences  Inc.,PHARMACEUTICAL PREPARATIONS [2834]
782,TELKONET INC,AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENT [3822]
783,AXESSTEL INC,COMMUNICATIONS EQUIPMENT  NEC [3669]
784,LANTRONIX INC,COMPUTER COMMUNICATIONS EQUIPMENT [3576]
785,NUVILEX  INC.,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS [2833]
786,ADVANCED CELL TECHNOLOGY  INC.,PHARMACEUTICAL PREPARATIONS [2834]
787,AXESSTEL INC,COMMUNICATIONS EQUIPMENT  NEC [3669]
788,AXESSTEL INC,COMMUNICATIONS EQUIPMENT  NEC [3669]
789,LANTRONIX INC,COMPUTER COMMUNICATIONS EQUIPMENT [3576]
790,SaviCorp,MOTOR VEHICLE PARTS & ACCESSORIES [3714]
791,ADVANCED CELL TECHNOLOGY  INC.,PHARMACEUTICAL PREPARATIONS [2834]
792,ADVANCED CELL TECHNOLOGY  INC.,PHARMACEUTICAL PREPARATIONS [2834]
793,THEDIRECTORY.COM  INC.,SERVICES-ADVERTISING AGENCIES [7311]
794,NUVILEX  INC.,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS [2833]
795,NUVILEX  INC.,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS [2833]
796,NUVILEX  INC.,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS [2833]
797,ADVANCED CELL TECHNOLOGY  INC.,PHARMACEUTICAL PREPARATIONS [2834]
798,FITT HIGHWAY PRODUCTS  INC.,PHARMACEUTICAL PREPARATIONS [2834]
799,AXESSTEL INC,COMMUNICATIONS EQUIPMENT  NEC [3669]
800,NUVILEX  INC.,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS [2833]
801,PREMIER HOLDING CORP.,ELECTRIC SERVICES [4911]
802,ADVANCED CELL TECHNOLOGY  INC.,PHARMACEUTICAL PREPARATIONS [2834]
803,NUVILEX  INC.,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS [2833]
804,Global Future City Holding Inc.,PHARMACEUTICAL PREPARATIONS [2834]
805,LANTRONIX INC,COMPUTER COMMUNICATIONS EQUIPMENT [3576]
806,PROTEO INC,PHARMACEUTICAL PREPARATIONS [2834]
807,ERF Wireless  Inc.,COMMUNICATIONS EQUIPMENT  NEC [3669]
808,LIVEDEAL INC,SERVICES-COMPUTER PROGRAMMING SERVICES [7371]
809,SaviCorp,MOTOR VEHICLE PARTS & ACCESSORIES [3714]
810,VIRGINIA MINES INC.,METAL MINING [1000]
811,UNITED NATURAL FOODS INC,WHOLESALE-GROCERIES & GENERAL LINE [5141]
812,UNITED NATURAL FOODS INC,WHOLESALE-GROCERIES & GENERAL LINE [5141]
813,TRIUMPH GROUP INC,AIRCRAFT & PARTS [3720]
814,NU SKIN ENTERPRISES INC,WHOLESALE-DRUGS PROPRIETARIES & DRUGGISTS' SUNDRIES [5122]
815,OGE ENERGY CORP.,ELECTRIC SERVICES [4911]
816,QUEST DIAGNOSTICS INC,SERVICES-MEDICAL LABORATORIES [8071]
817,OPLINK COMMUNICATIONS INC,TELEPHONE & TELEGRAPH APPARATUS [3661]
818,GENESIS ENERGY LP,WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS [5171]
819,GENESIS ENERGY LP,WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS [5171]
820,EPLUS INC,WHOLESALE-COMPUTER & PERIPHERAL EQUIPMENT & SOFTWARE [5045]
821,FRANKLIN FUND ALLOCATOR SERIES,N/A
822,Energy Future Holdings Corp /TX/,ELECTRIC SERVICES [4911]
823,COTY INC.,PERFUMES  COSMETICS & OTHER TOILET PREPARATIONS [2844]
824,COTY INC.,PERFUMES  COSMETICS & OTHER TOILET PREPARATIONS [2844]
825,COTY INC.,PERFUMES  COSMETICS & OTHER TOILET PREPARATIONS [2844]
826,COTY INC.,PERFUMES  COSMETICS & OTHER TOILET PREPARATIONS [2844]
827,TENNECO INC,MOTOR VEHICLE PARTS & ACCESSORIES [3714]
828,SUN HYDRAULICS CORP,MISCELLANEOUS FABRICATED METAL PRODUCTS [3490]
829,W. P. Carey Inc.,REAL ESTATE INVESTMENT TRUSTS [6798]
830,ENTERPRISE FINANCIAL SERVICES CORP,STATE COMMERCIAL BANKS [6022]
831,NOVATION COMPANIES  INC.,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS) [6531]
832,KILROY REALTY CORP,REAL ESTATE INVESTMENT TRUSTS [6798]
833,Cheviot Financial Corp.,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
834,FEDERAL HOME LOAN MORTGAGE CORP,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES [6111]
835,CHICAGO BRIDGE & IRON CO N V,CONSTRUCTION SPECIAL TRADE CONTRACTORS [1700]
836,CHICAGO BRIDGE & IRON CO N V,CONSTRUCTION SPECIAL TRADE CONTRACTORS [1700]
837,COBIZ FINANCIAL INC,NATIONAL COMMERCIAL BANKS [6021]
838,PACIFIC PREMIER BANCORP INC,STATE COMMERCIAL BANKS [6022]
839,PACIFIC PREMIER BANCORP INC,STATE COMMERCIAL BANKS [6022]
840,PACIFIC PREMIER BANCORP INC,STATE COMMERCIAL BANKS [6022]
841,PACIFIC PREMIER BANCORP INC,STATE COMMERCIAL BANKS [6022]
842,EURONET WORLDWIDE INC,FUNCTIONS RELATED TO DEPOSITORY BANKING  NEC [6099]
843,ARC RESOURCES LTD.,CRUDE PETROLEUM & NATURAL GAS [1311]
844,URSTADT BIDDLE PROPERTIES INC,REAL ESTATE INVESTMENT TRUSTS [6798]
845,UNITED INVESTORS UNIVERSAL LIFE VARIABLE ACCOUNT,N/A
846,PHL VARIABLE INSURANCE CO /CT/,LIFE INSURANCE [6311]
847,Self Storage Group  Inc.,N/A
848,FIRSTENERGY CORP,ELECTRIC SERVICES [4911]
849,FIRSTENERGY CORP,ELECTRIC SERVICES [4911]
850,FLAGSTAR BANCORP INC,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
851,FLAGSTAR BANCORP INC,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
852,LUMINEX CORP,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841]
853,LUMINEX CORP,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841]
854,ASHFORD HOSPITALITY TRUST INC,REAL ESTATE INVESTMENT TRUSTS [6798]
855,ASHFORD HOSPITALITY TRUST INC,REAL ESTATE INVESTMENT TRUSTS [6798]
856,ASHFORD HOSPITALITY TRUST INC,REAL ESTATE INVESTMENT TRUSTS [6798]
857,VALERO ENERGY CORP/TX,PETROLEUM REFINING [2911]
858,INTUITIVE SURGICAL INC,ORTHOPEDIC  PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842]
859,ALEXANDRIA REAL ESTATE EQUITIES INC,REAL ESTATE INVESTMENT TRUSTS [6798]
860,CALLIDUS SOFTWARE INC,SERVICES-COMPUTER PROGRAMMING SERVICES [7371]
861,CALLIDUS SOFTWARE INC,SERVICES-COMPUTER PROGRAMMING SERVICES [7371]
862,RALPH LAUREN CORP,MEN'S & BOYS' FURNISHINGS  WORK CLOTHING  AND ALLIED GARMENTS [2320]
863,JONES LANG LASALLE INC,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS) [6531]
864,HESKA CORP,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
865,PIONEER NATURAL RESOURCES CO,CRUDE PETROLEUM & NATURAL GAS [1311]
866,PIONEER NATURAL RESOURCES CO,CRUDE PETROLEUM & NATURAL GAS [1311]
867,FORMFACTOR INC,SEMICONDUCTORS & RELATED DEVICES [3674]
868,ONEOK INC /NEW/,NATURAL GAS TRANSMISSION & DISTRIBUTION [4923]
869,CARRIZO OIL & GAS INC,CRUDE PETROLEUM & NATURAL GAS [1311]
870,MADISON FUNDS,N/A
871,WALTER INVESTMENT MANAGEMENT CORP,MORTGAGE BANKERS & LOAN CORRESPONDENTS [6162]
872,YUM BRANDS INC,RETAIL-EATING PLACES [5812]
873,YUM BRANDS INC,RETAIL-EATING PLACES [5812]
874,RADIO ONE  INC.,RADIO BROADCASTING STATIONS [4832]
875,RADIO ONE  INC.,RADIO BROADCASTING STATIONS [4832]
876,PRICESMART INC,RETAIL-VARIETY STORES [5331]
877,PRICESMART INC,RETAIL-VARIETY STORES [5331]
878,AMERICAN FINANCIAL GROUP INC,FIRE  MARINE & CASUALTY INSURANCE [6331]
879,Piedmont Office Realty Trust  Inc.,OPERATORS OF NONRESIDENTIAL BUILDINGS [6512]
880,Piedmont Office Realty Trust  Inc.,OPERATORS OF NONRESIDENTIAL BUILDINGS [6512]
881,EQUITY ONE  INC.,REAL ESTATE INVESTMENT TRUSTS [6798]
882,IMAGE SENSING SYSTEMS INC,MEASURING & CONTROLLING DEVICES  NEC [3829]
883,LIGHTBRIDGE Corp,SERVICES-MANAGEMENT CONSULTING SERVICES [8742]
884,W R GRACE & CO,CHEMICALS & ALLIED PRODUCTS [2800]
885,EPR PROPERTIES,REAL ESTATE INVESTMENT TRUSTS [6798]
886,EPR PROPERTIES,REAL ESTATE INVESTMENT TRUSTS [6798]
887,NVIDIA CORP,SEMICONDUCTORS & RELATED DEVICES [3674]
888,HERITAGE FINANCIAL CORP /WA/,SAVINGS INSTITUTIONS  NOT FEDERALLY CHARTERED [6036]
889,HERITAGE FINANCIAL CORP /WA/,SAVINGS INSTITUTIONS  NOT FEDERALLY CHARTERED [6036]
890,CHOICE HOTELS INTERNATIONAL INC /DE,HOTELS & MOTELS [7011]
891,CHOICE HOTELS INTERNATIONAL INC /DE,HOTELS & MOTELS [7011]
892,CHOICE HOTELS INTERNATIONAL INC /DE,HOTELS & MOTELS [7011]
893,REALNETWORKS INC,SERVICES-COMPUTER PROGRAMMING SERVICES [7371]
894,REALNETWORKS INC,SERVICES-COMPUTER PROGRAMMING SERVICES [7371]
895,REMY INTERNATIONAL  INC.,MOTOR VEHICLE PARTS & ACCESSORIES [3714]
896,REMY INTERNATIONAL  INC.,MOTOR VEHICLE PARTS & ACCESSORIES [3714]
897,REMY INTERNATIONAL  INC.,MOTOR VEHICLE PARTS & ACCESSORIES [3714]
898,RAYTHEON CO/,SEARCH  DETECTION  NAVIGATION  GUIDANCE  AERONAUTICAL SYS [3812]
899,RAYTHEON CO/,SEARCH  DETECTION  NAVIGATION  GUIDANCE  AERONAUTICAL SYS [3812]
900,AMKOR TECHNOLOGY INC,SEMICONDUCTORS & RELATED DEVICES [3674]
901,AMKOR TECHNOLOGY INC,SEMICONDUCTORS & RELATED DEVICES [3674]
902,NATIONAL HEALTHCARE CORP,SERVICES-SKILLED NURSING CARE FACILITIES [8051]
903,NATIONAL HEALTHCARE CORP,SERVICES-SKILLED NURSING CARE FACILITIES [8051]
904,FRESH DEL MONTE PRODUCE INC,AGRICULTURE PRODUCTION - CROPS [0100]
905,METABOLIX  INC.,MISCELLANEOUS PLASTIC PRODUCTS [3080]
906,FOSTER WHEELER AG,HEAVY CONSTRUCTION OTHER THAN BUILDING CONST - CONTRACTORS [1600]
907,PTC THERAPEUTICS  INC.,PHARMACEUTICAL PREPARATIONS [2834]
908,DRAGONWAVE INC,RADIO TELEPHONE COMMUNICATIONS [4812]
909,Onconova Therapeutics  Inc.,PHARMACEUTICAL PREPARATIONS [2834]
910,ACCURAY INC,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841]
911,PTC THERAPEUTICS  INC.,PHARMACEUTICAL PREPARATIONS [2834]
912,QVC INC,RETAIL-CATALOG & MAIL-ORDER HOUSES [5961]
913,MARKWEST ENERGY PARTNERS L P,CRUDE PETROLEUM & NATURAL GAS [1311]
914,SONUS NETWORKS INC,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373]
915,CME GROUP INC.,SECURITY & COMMODITY BROKERS  DEALERS  EXCHANGES & SERVICES [6200]
916,OSI SYSTEMS INC,SEMICONDUCTORS & RELATED DEVICES [3674]
917,CORGENIX MEDICAL CORP/CO,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES [2835]
918,KINDER MORGAN MANAGEMENT LLC,PIPE LINES (NO NATURAL GAS) [4610]
919,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
920,Golden Minerals Co,GOLD & SILVER ORES [1040]
921,Huntsman CORP,CHEMICALS & ALLIED PRODUCTS [2800]
922,CRA INTERNATIONAL  INC.,SERVICES-LEGAL SERVICES [8111]
923,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
924,EnLink Midstream Partners  LP,NATURAL GAS TRANSMISSION [4922]
925,K12 INC,SERVICES-EDUCATIONAL SERVICES [8200]
926,COMFORT SYSTEMS USA INC,ELECTRICAL WORK [1731]
927,VALMONT INDUSTRIES INC,FABRICATED STRUCTURAL METAL PRODUCTS [3440]
928,QVC INC,RETAIL-CATALOG & MAIL-ORDER HOUSES [5961]
929,IRON MOUNTAIN INC,PUBLIC WAREHOUSING & STORAGE [4220]
930,Edwards Lifesciences Corp,ORTHOPEDIC  PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842]
931,MCG CAPITAL CORP,N/A
932,MB FINANCIAL INC /MD,NATIONAL COMMERCIAL BANKS [6021]
933,UMPQUA HOLDINGS CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
934,BERKSHIRE HILLS BANCORP INC,SAVINGS INSTITUTIONS  NOT FEDERALLY CHARTERED [6036]
935,Hampden Bancorp  Inc.,SAVINGS INSTITUTIONS  NOT FEDERALLY CHARTERED [6036]
936,SIMON PROPERTY GROUP INC /DE/,REAL ESTATE INVESTMENT TRUSTS [6798]
937,EnLink Midstream Partners  LP,NATURAL GAS TRANSMISSION [4922]
938,UMPQUA HOLDINGS CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
939,UNITED ONLINE INC,SERVICES-COMPUTER PROGRAMMING  DATA PROCESSING  ETC. [7370]
940,EnLink Midstream Partners  LP,NATURAL GAS TRANSMISSION [4922]
941,EAGLE BANCORP INC,STATE COMMERCIAL BANKS [6022]
942,HERITAGE COMMERCE CORP,STATE COMMERCIAL BANKS [6022]
943,Cutwater Select Income Fund,N/A
944,MERCURY SYSTEMS INC,ELECTRONIC COMPONENTS & ACCESSORIES [3670]
945,MERCURY SYSTEMS INC,ELECTRONIC COMPONENTS & ACCESSORIES [3670]
946,NORTHERN FUNDS,N/A
947,MET INVESTORS SERIES TRUST,N/A
948,VARIABLE ANNUITY ACCOUNT A OF PROTECTIVE LIFE,N/A
949,VARIABLE ANNUITY ACCOUNT A OF PROTECTIVE LIFE,N/A
950,VARIABLE ANNUITY ACCOUNT A OF PROTECTIVE LIFE,N/A
951,VARIABLE ANNUITY ACCOUNT A OF PROTECTIVE LIFE,N/A
952,VARIABLE ANNUITY ACCOUNT A OF PROTECTIVE LIFE,N/A
953,VARIABLE ANNUITY ACCOUNT A OF PROTECTIVE LIFE,N/A
954,CROWN CASTLE INTERNATIONAL CORP,REAL ESTATE INVESTMENT TRUSTS [6798]
955,AGL SEPARATE ACCOUNT VL-R,N/A
956,AGL SEPARATE ACCOUNT VL-R,N/A
957,AGL SEPARATE ACCOUNT VL-R,N/A
958,AGL SEPARATE ACCOUNT VL-R,N/A
959,AGL SEPARATE ACCOUNT VL-R,N/A
960,AGL SEPARATE ACCOUNT VL-R,N/A
961,AGL SEPARATE ACCOUNT VL-R,N/A
962,AGL SEPARATE ACCOUNT VL-R,N/A
963,AGL SEPARATE ACCOUNT VL-R,N/A
964,AGL SEPARATE ACCOUNT VL-R,N/A
965,AGL SEPARATE ACCOUNT VL-R,N/A
966,AGL SEPARATE ACCOUNT VL-R,N/A
967,AGL SEPARATE ACCOUNT VL-R,N/A
968,AGL SEPARATE ACCOUNT VL-R,N/A
969,AGL SEPARATE ACCOUNT VL-R,N/A
970,AGL SEPARATE ACCOUNT VL-R,N/A
971,AGL SEPARATE ACCOUNT VL-R,N/A
972,AGL SEPARATE ACCOUNT VL-R,N/A
973,AGL SEPARATE ACCOUNT VA-1,N/A
974,TELEPHONE & DATA SYSTEMS INC /DE/,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
975,TELEPHONE & DATA SYSTEMS INC /DE/,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
976,FIRST NIAGARA FINANCIAL GROUP INC,NATIONAL COMMERCIAL BANKS [6021]
977,Red Lion Hotels CORP,HOTELS & MOTELS [7011]
978,HERITAGE COMMERCE CORP,STATE COMMERCIAL BANKS [6022]
979,IPASS INC,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374]
980,IPASS INC,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374]
981,LaSalle Hotel Properties,REAL ESTATE INVESTMENT TRUSTS [6798]
982,GRUMA SAB DE CV,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS [2090]
983,GRUMA SAB DE CV,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS [2090]
984,PDI INC,SERVICES-BUSINESS SERVICES  NEC [7389]
985,PDI INC,SERVICES-BUSINESS SERVICES  NEC [7389]
986,PDI INC,SERVICES-BUSINESS SERVICES  NEC [7389]
987,PDI INC,SERVICES-BUSINESS SERVICES  NEC [7389]
988,PDI INC,SERVICES-BUSINESS SERVICES  NEC [7389]
